100,17
200,37
300,38
400,64
500,78
600,114
700,102
800,109
900,246
1000,163
1100,171
1200,275
1300,272
1400,249
1500,2942
1600,301
1700,853
1800,1018
1900,608
2000,1121
2100,862
2200,2484
2300,1025
2400,982
2500,865
2600,1197
2700,1148
2800,906
2900,3269
3000,1298
3100,2214
3200,2474
3300,2086
3400,4313
3500,4009
3600,1888
3700,9089
3800,2115
3900,4840
4000,5217
4100,3314
4200,4303
4300,3885
4400,3586
4500,8599
4600,5718
4700,5582
4800,4051
4900,7785
5000,3203
5100,5156
5200,3160
5300,6774
5400,2843
5500,11578
5600,8917
5700,4666
5800,6115
5900,8626
6000,4800
6100,7489
6200,11050
6300,8550
6400,8003
6500,8572
6600,10931
6700,7852
6800,8820
6900,8395
7000,8883
7100,10442
7115,5487
