100,16
200,28
300,34
400,66
500,51
600,53
700,91
800,88
900,90
1000,305
1100,141
1200,158
1300,534
1400,145
1500,578
1600,175
1700,332
1800,224
1900,223
2000,913
2100,350
2200,330
2300,260
2400,279
2500,392
2600,479
2700,4022
2800,484
2900,470
3000,356
3100,488
3200,367
3300,397
3400,391
3500,396
3600,509
3700,482
3800,491
3900,660
4000,451
4100,451
4200,534
4300,537
4400,476
4500,495
4600,487
4700,537
4800,513
4900,579
5000,498
5100,638
5200,715
5300,633
5400,562
5500,669
5600,753
5700,644
5800,622
5900,734
6000,662
6100,793
6200,754
6300,773
6400,649
6500,899
6600,763
6700,727
6800,779
6900,795
7000,839
7100,1664
7115,1207
